iter	Passed	Remaining
0	3	3134
1	5	2752
2	7	2558
3	9	2439
4	11	2284
5	13	2261
6	15	2256
7	18	2233
8	20	2217
9	21	2158
10	23	2074
11	25	2086
12	27	2080
13	29	2072
14	30	2000
15	32	1991
16	33	1922
17	35	1919
18	37	1923
19	39	1928
20	41	1925
21	43	1918
22	45	1925
23	47	1926
24	49	1919
25	51	1913
26	53	1910
27	54	1904
28	56	1902
29	58	1898
30	60	1894
31	62	1889
32	64	1887
33	66	1882
34	68	1877
35	69	1874
36	71	1871
37	73	1867
38	75	1865
39	77	1860
40	79	1856
41	81	1851
42	83	1852
43	85	1850
44	87	1847
45	88	1843
46	90	1840
47	92	1836
48	94	1838
49	96	1835
50	98	1836
51	100	1837
52	102	1838
53	104	1836
54	106	1833
55	108	1830
56	110	1827
57	112	1826
58	114	1827
59	116	1825
60	118	1822
61	120	1819
62	122	1817
63	123	1810
64	125	1804
65	127	1802
66	129	1800
67	131	1797
68	133	1796
69	134	1793
70	136	1791
71	138	1789
72	140	1786
73	142	1782
74	144	1777
75	145	1772
76	147	1767
77	149	1763
78	150	1758
79	152	1754
80	154	1750
81	155	1745
82	157	1740
83	159	1737
84	161	1734
85	163	1733
86	164	1726
87	165	1711
88	167	1710
89	168	1708
90	170	1706
91	172	1704
92	174	1702
93	176	1700
94	178	1698
95	180	1697
96	182	1696
97	184	1697
98	186	1697
99	188	1695
100	190	1695
101	192	1694
102	194	1693
103	196	1691
104	198	1690
105	200	1689
106	201	1684
107	203	1682
108	205	1680
109	207	1678
110	209	1676
111	211	1674
112	212	1671
113	214	1667
114	216	1663
115	217	1660
116	219	1657
117	221	1656
118	223	1655
119	225	1653
120	227	1652
121	229	1651
122	231	1649
123	233	1647
124	235	1645
125	237	1644
126	237	1636
127	239	1634
128	241	1632
129	243	1630
130	245	1628
131	247	1627
132	249	1625
133	251	1623
134	253	1621
135	255	1620
136	256	1615
137	258	1613
138	260	1612
139	262	1610
140	264	1608
141	265	1606
142	267	1604
143	269	1603
144	271	1601
145	273	1599
146	275	1597
147	277	1596
148	278	1593
149	280	1591
150	282	1589
151	284	1587
152	286	1585
153	288	1584
154	290	1582
155	292	1580
156	294	1578
157	295	1576
158	296	1568
159	298	1566
160	300	1565
161	302	1562
162	303	1560
163	305	1558
164	307	1557
165	309	1555
166	311	1553
167	313	1551
168	314	1545
169	316	1543
170	318	1541
171	319	1540
172	321	1538
173	323	1536
174	325	1535
175	327	1533
176	329	1532
177	331	1530
178	333	1529
179	335	1527
180	337	1525
181	339	1523
182	340	1522
183	342	1520
184	344	1517
185	346	1515
186	348	1513
187	350	1512
188	351	1510
189	353	1508
190	355	1507
191	357	1505
192	359	1503
193	361	1501
194	363	1500
195	365	1498
196	367	1496
197	369	1494
198	370	1492
199	372	1490
200	374	1488
201	376	1486
202	378	1484
203	380	1482
204	381	1481
205	383	1479
206	385	1477
207	387	1475
208	389	1473
209	391	1472
210	393	1470
211	395	1468
212	397	1467
213	398	1465
214	400	1463
