iter	Logloss
0	0.5941585584
1	0.5101077905
2	0.4756069398
3	0.45399938
4	0.4282832199
5	0.4197872891
6	0.4125877552
7	0.4056951116
8	0.400891079
9	0.3975995953
10	0.3920230651
11	0.3894025395
12	0.3861964365
13	0.3848837092
14	0.3821876183
15	0.38008482
16	0.3777330377
17	0.3745966708
18	0.3722656336
19	0.3700402506
20	0.3675279939
21	0.3661046832
22	0.3648009568
23	0.3632472178
24	0.3621221392
25	0.3602246917
26	0.3586473358
27	0.3574397055
28	0.3559899919
29	0.3547515441
30	0.3517927106
31	0.350054023
32	0.3417654573
33	0.3399917731
34	0.3382138027
35	0.3360903451
36	0.3340326588
37	0.3316378218
38	0.3294568437
39	0.3272139731
40	0.3248437603
41	0.3222518235
42	0.3124357931
43	0.3102585868
44	0.3078637284
45	0.3057328128
46	0.3033731868
47	0.301246986
48	0.2993346011
49	0.2974043857
50	0.2955895756
51	0.29377618
52	0.2919986596
53	0.2886973606
54	0.2821218512
55	0.2803872355
56	0.2785493444
57	0.2768578261
58	0.2752793773
59	0.2737169373
60	0.2721812002
61	0.2707096057
62	0.2692757296
63	0.2670381525
64	0.2656320293
65	0.2642472514
66	0.262891898
67	0.2615899504
68	0.2600258388
69	0.2513700978
70	0.250063864
71	0.2487806256
72	0.2475256545
73	0.246322889
74	0.2448729612
75	0.2436565656
76	0.2424967905
77	0.2337613481
78	0.2326984191
79	0.231578184
80	0.2304764437
81	0.2283761957
82	0.2273224391
83	0.2262197559
84	0.2251808724
85	0.2241118999
86	0.2230553359
87	0.218373588
88	0.2173092874
89	0.2160456797
90	0.2150593447
91	0.213618525
92	0.2126471059
93	0.2116615638
94	0.2106853014
95	0.2031806774
96	0.2022182379
97	0.2012448257
98	0.2003170613
99	0.1994034842
