iter	Passed	Remaining
0	3	329
1	5	287
2	8	271
3	10	249
4	12	235
5	14	225
6	16	217
7	18	212
8	21	214
9	23	207
10	25	203
11	27	205
12	29	199
13	31	195
14	33	192
15	36	190
16	38	188
17	40	185
18	42	182
19	44	179
20	46	175
21	48	173
22	50	170
23	52	167
24	55	165
25	57	163
26	59	161
27	61	158
28	63	156
29	65	153
30	68	151
31	70	149
32	72	146
33	74	145
34	76	142
35	78	140
36	81	138
37	83	136
38	85	134
39	88	133
40	91	130
41	93	128
42	95	126
43	97	123
44	99	121
45	101	119
46	103	117
47	105	114
48	108	112
49	110	110
50	112	108
51	114	105
52	116	103
53	118	101
54	121	99
55	123	96
56	125	94
57	127	92
58	129	90
59	131	87
60	133	85
61	136	83
62	137	81
63	139	78
64	141	76
65	144	74
66	146	72
67	148	69
68	150	67
69	152	65
70	155	63
71	157	61
72	159	58
73	161	56
74	163	54
75	165	52
76	168	50
77	170	47
78	172	45
79	174	43
80	176	41
81	178	39
82	180	36
83	182	34
84	184	32
85	187	30
86	189	28
87	191	26
88	193	23
89	195	21
90	197	19
91	199	17
92	202	15
93	204	13
94	206	10
95	208	8
96	211	6
97	213	4
98	215	2
99	217	0
